barcode,interview_id,field_species_id,Date,Time,capture_depth,lat,lon,length,recorded_mark,sampled,finsampled,sex,mature,rank,fisherman_id,port_id,fishermanport_id,vessel_id,fisherytype_id,fisherygroup_id,agency_id,bestestimate1,probability1,bestestimate2,probability2,bestestimate3,probability3,bestestimate4,probability4,bestestimate5,probability5,bestestimate6,probability6,bestestimate7,probability7,bestestimate8,probability8,bestestimate9,probability9,bestestimate10,probability10,bestestimate11,probability11,bestestimate12,probability12
5563,201100040,1,18-May-11,,82.296,44.372,-124.60735,0.79,,Y,,,U,13,61,,,59,11,100,1,U_Columbia_summer_fall,0.9741,Snake_fall,0.0251,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
5577,201100116,1,04-Jun-11,13:20:00,46,43.1636667,-124.55215,85,9,Y,,,X,13,27,,,27,11,100,1,U_Columbia_summer_fall,0.7857,Snake_fall,0.137,Deschutes_fall,0.0358,Rogue,0.019,Central_Valley_fall,0.0128,,0,,0,,0,,0,,0,,0,,
20914,201100116,1,04-Jun-11,20:45:00,46,43.1481,-124.565,,,Y,,,X,13,27,,,27,11,100,1,U_Columbia_summer_fall,0.8012,Snake_fall,0.1148,Deschutes_fall,0.0338,L_Columbia_fall,0.0293,Mid_Oregon_Coast,0.0202,,0,,0,,0,,0,,0,,0,,
12028,201100278,1,01-Jul-11,15:32:00,35,,,83,Yes,Y,Y,,E,13,119,,,115,11,100,1,Rogue,0.8292,Mid_Oregon_Coast,0.1706,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA15638,201100641,1,01-Oct-11,,10.9728,,,0.82,N,,Y,,E,,1066,,,267,11,100,2,,,,,,,,,,,,,,,,,,,,,,,,
CA15639,201100641,1,01-Oct-11,,10.9728,,,0.74,N,,Y,,E,,1066,,,267,11,100,2,,,,,,,,,,,,,,,,,,,,,,,,
CA15640,201100641,1,01-Oct-11,,16.4592,,,0.81,N,,Y,,E,,1066,,,267,11,100,2,,,,,,,,,,,,,,,,,,,,,,,,
CA26712,201100563,1,26-Jul-11,9:01:00,54.864,39.7106,-123.9068167,0.8,N,,Y,,X,,1057,,,258,11,100,2,Central_Valley_fall,99.749,Central_Valley_spring,0.251,0,0,,,,,,,,,,,,,,,,,,
CA19801,201100036,1,03-May-11,10:50:57,27.432,37.05697,-122.49585,0.74,N,,Y,,X,,1043,,,248,11,100,2,Central_Valley_fall,99.997,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
20164,201100039,1,17-May-11,12:15:44,80.4672,44.7598,-124.28805,0.73,N,Y,,,E,13,74,,,72,11,100,1,L_Columbia_fall,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
